identifier,datetime,energy
1,15/07/25 00:00,0
2,15/07/25 00:00,0
1,15/07/25 01:00,0
2,15/07/25 01:00,0
1,15/07/25 02:00,0
2,15/07/25 02:00,0
1,15/07/25 03:00,0
2,15/07/25 03:00,0
1,15/07/25 04:00,0
2,15/07/25 04:00,0
1,15/07/25 05:00,0
2,15/07/25 05:00,0
1,15/07/25 06:00,343
2,15/07/25 06:00,4494
1,15/07/25 07:00,2174
2,15/07/25 07:00,26875
1,15/07/25 08:00,5066
2,15/07/25 08:00,48084
1,15/07/25 09:00,8592
2,15/07/25 09:00,62493
1,15/07/25 10:00,15865
2,15/07/25 10:00,70974
1,15/07/25 11:00,12211
2,15/07/25 11:00,73451
1,15/07/25 12:00,12529
2,15/07/25 12:00,71831
1,15/07/25 13:00,12181
2,15/07/25 13:00,66019
1,15/07/25 14:00,15825
2,15/07/25 14:00,56844
1,15/07/25 15:00,8158
2,15/07/25 15:00,42351
1,15/07/25 16:00,4582
2,15/07/25 16:00,24642
1,15/07/25 17:00,1745
2,15/07/25 17:00,8911
1,15/07/25 18:00,287
2,15/07/25 18:00,3311
1,15/07/25 19:00,9
2,15/07/25 19:00,1262
1,15/07/25 20:00,0
2,15/07/25 20:00,0
1,15/07/25 21:00,0
2,15/07/25 21:00,0
1,15/07/25 22:00,0
2,15/07/25 22:00,0
1,15/07/25 23:00,0
2,15/07/25 23:00,0
1,16/07/25 00:00,0
2,16/07/25 00:00,0
1,16/07/25 01:00,0
2,16/07/25 01:00,0
1,16/07/25 02:00,0
2,16/07/25 02:00,0
1,16/07/25 03:00,0
2,16/07/25 03:00,0
1,16/07/25 04:00,0
2,16/07/25 04:00,0
1,16/07/25 05:00,0
2,16/07/25 05:00,0
1,16/07/25 06:00,343
2,16/07/25 06:00,4494
1,16/07/25 07:00,2174
2,16/07/25 07:00,26875
1,16/07/25 08:00,5066
2,16/07/25 08:00,48084
1,16/07/25 09:00,8592
2,16/07/25 09:00,62493
1,16/07/25 10:00,16865
2,16/07/25 10:00,70974
1,16/07/25 11:00,12211
2,16/07/25 11:00,73451
1,16/07/25 12:00,12529
2,16/07/25 12:00,71831
1,16/07/25 13:00,12181
2,16/07/25 13:00,66019
1,16/07/25 14:00,16825
2,16/07/25 14:00,56844
1,16/07/25 15:00,8168
2,16/07/25 15:00,42351
1,16/07/25 16:00,4582
2,16/07/25 16:00,24642
1,16/07/25 17:00,1745
2,16/07/25 17:00,8911
1,16/07/25 18:00,287
2,16/07/25 18:00,3311
1,16/07/25 19:00,9
2,16/07/25 19:00,1262
1,16/07/25 20:00,0
2,16/07/25 20:00,0
1,16/07/25 21:00,0
2,16/07/25 21:00,0
1,16/07/25 22:00,0
2,16/07/25 22:00,0
1,16/07/25 23:00,0
2,16/07/25 23:00,0
