identifier,datetime,energy
1,12/07/25 00:00,0
2,12/07/25 00:00,0
1,12/07/25 01:00,0
2,12/07/25 01:00,0
1,12/07/25 02:00,0
2,12/07/25 02:00,0
1,12/07/25 03:00,0
2,12/07/25 03:00,0
1,12/07/25 04:00,0
2,12/07/25 04:00,0
1,12/07/25 05:00,0
2,12/07/25 05:00,0
1,12/07/25 06:00,343
2,12/07/25 06:00,4494
1,12/07/25 07:00,2174
2,12/07/25 07:00,26875
1,12/07/25 08:00,5066
2,12/07/25 08:00,48084
1,12/07/25 09:00,8592
2,12/07/25 09:00,62493
1,12/07/25 10:00,10865
2,12/07/25 10:00,70974
1,12/07/25 11:00,12211
2,12/07/25 11:00,73451
1,12/07/25 12:00,12529
2,12/07/25 12:00,71831
1,12/07/25 13:00,12181
2,12/07/25 13:00,66019
1,12/07/25 14:00,10825
2,12/07/25 14:00,56844
1,12/07/25 15:00,8168
2,12/07/25 15:00,42351
1,12/07/25 16:00,4582
2,12/07/25 16:00,24642
